categoria,dificultad,puntaje,enunciado,opcion_1,opcion_2,opcion_3,opcion_4,respuesta_correcta
Deportes,Difícil,9,¿Qué nadador ganó más medallas olímpicas?,Phelps,Thorpe,Lochte,Dressel,Phelps
Deportes,Normal,6,¿Qué deporte se practica en Wimbledon?,Tenis,Golf,Fútbol,Ciclismo,Tenis
Tecnología,Normal,6,¿Qué empresa es la creadora del sistema operativo Android?,Apple,Microsoft,Google,Samsung,Google
Tecnología,Fácil,3,¿Qué aparato usamos para hacer llamadas?,Computadora,Celular,Impresora,Mouse,Celular
Tecnología,Fácil,3,¿Qué es una 'app'?,Un sistema operativo,Un programa,Una red,Un virus,Un programa
Tecnología,Normal,6,¿Qué es un CPU?,Memoria,Procesador,Pantalla,Disco,Procesador
Tecnología,Difícil,9,¿Qué significa 'HTML'?,HyperText Markup Language,High Text Machine Language,HyperTools Marked Language,High Transfer Media Link,HyperText Markup Language
Tecnología,Difícil,9,¿Qué año se fundó Microsoft?,1975,1980,1990,2000,1975
Tecnología,Normal,6,¿Qué invento revolucionó el acceso a internet móvil?,Router,WiFi,4G,Cable coaxial,4G
Arte,Difícil,9,¿En qué ciudad se encuentra el famoso Coliseo Romano?,Atenas,Estambul,Madrid,Roma,Roma
Arte,Fácil,3,¿Qué se necesita para pintar un cuadro?,Lapicera,Pincel,Lentes,Martillo,Pincel
Arte,Fácil,3,¿Qué estilo usaba Picasso?,Impresionismo,Cubismo,Realismo,Barroco,Cubismo
Arte,Normal,6,¿Qué es el muralismo?,Pintura sobre tela,Pintura en muros,Escultura,Fotografía,Pintura en muros
Arte,Normal,6,¿Qué famoso pintor cortó parte de su oreja?,Picasso,Monet,Van Gogh,Dalí,Van Gogh
Arte,Difícil,9,¿Dónde nació Salvador Dalí?,Madrid,Barcelona,Figueres,Sevilla,Figueres
Arte,Normal,6,¿Qué técnica se usa en el grafiti?,Acuarela,Acrílico,Spray,Óleo,Spray
Música,Normal,6,¿Quién es conocido como el 'Rey del Pop'?,Freddie Mercury,Elvis Presley,Michael Jackson,Prince,Michael Jackson
Música,Fácil,3,¿Qué instrumento tiene teclas blancas y negras?,Guitarra,Batería,Violín,Piano,Piano
Música,Fácil,3,¿Qué cantante argentino canta 'Color Esperanza'?,Luis Miguel,Diego Torres,Charly García,Soda Stereo,Diego Torres
Música,Normal,6,¿A qué género pertenece AC/DC?,Pop,Rock,Jazz,Clásica,Rock
Música,Difícil,9,¿Qué compositor es autor de la 5ª sinfonía?,Mozart,Bach,Beethoven,Chopin,Beethoven
Música,Difícil,9,¿Qué país es la cuna del reggae?,Brasil,Jamaica,Cuba,Colombia,Jamaica
Música,Normal,6,¿Qué banda escribió 'Bohemian Rhapsody'?,Queen,The Beatles,Rolling Stones,Pink Floyd,Queen
